"character" "dialogue"
 "shuttle captain" "command station, this is st 321. code clearance blue. we're starting our approach. deactivate the security shield."
 "death star controller" "the security deflector shield will be deactivated when we have confirmation of your code transmission. stand by... you are clear to proceed."
 "shuttle captain" "we're starting our approach."
 "officer" "inform the commander that lord vader's shuttle has arrived."
 "operator" "yes, sir."
 "jerjerrod" "lord vader, this is an unexpected pleasure.  we're honored by your presence."
 "vader" "you may dispense with the pleasantries, commander. i'm here to put you back on schedule."
 "jerjerrod" "i assure you, lord vader, my men are working as fast as they can."
 "vader" "perhaps i can find new ways to motivate them."
 "jerjerrod" "i tell you, this station will be operational as planned."
 "vader" "the emperor does not share your optimistic appraisal of the situation."
 "jerjerrod" "but he asks the impossible. i need more men."
 "vader" "then perhaps you can tell him when he arrives."
 "jerjerrod" "the emperor's coming here?"
 "vader" "that is correct, commander. and he is most displeased with your apparent lack of progress."
 "jerjerrod" "we shall double our efforts."
 "vader" "i hope so, commander, for your sake. the emperor is not as forgiving as i am."
 "threepio" "of course i'm worried. and you should be, too. lando calrissian and poor chewbacca never returned from this awful place."
 "threepio" "don't be so sure. if i told you half the things i've heard about this jabba the hutt, you'd probably short-circuit."
 "threepio" "artoo, are you sure this is the right place? i better knock, i suppose."
 "threepio" "there doesn't seem to be anyone there. let's go back and tell master luke."
 "strange voice" "tee chuta hhat yudd!"
 "threepio" "goodness gracious me!"
 "threepio" "artoo detoowha bo seethreepiowha ey toota odd mischka jabba du hutt."
 "threepio" "i don't think they're going to let us in, artoo. we'd better go."
 "threepio" "artoo, wait. oh, dear! artoo. artoo, i really don't think we should rush into all this."
 "threepio" "oh, artoo!  artoo, wait for me!"
 "threepio" "just you deliver master luke's message and get us out of here. oh my! oh! oh, no."
 "bib" "die wanna wanga!"
 "threepio" "oh, my! die wanna wauaga. we -- we bring a message to your master, jabba the hutt."
 "threepio" "... and a gift.  gift, what gift?"
 "bib" "nee jabba no badda. me chaade su goodie."
 "threepio" "he says that our instructions are to give it only to jabba himself."
 "threepio" "i'm terribly sorry. i'm afraid he's ever so stubborn about these sort of things."
 "bib" "nudd chaa."
 "threepio" "artoo, i have a bad feeling about this."
 "threepio" "good morning."
 "jabba" "bo shuda!"
 "threepio" "the message, artoo, the message."
 "luke" "greetings, exalted one. allow me to introduce myself. i am luke skywalker, jedi knight and friend to captain solo. i know that you are powerful, mighty jabba, and that your anger with solo must be equally powerful. i seek an audience with your greatness to bargain for solo's life.  with your wisdom, i'm sure that we can work out an arrangement which will be mutually beneficial and enable us to avoid any unpleasant confrontation. as a token of my goodwill, i present to you a gift: these two droids."
 "threepio" "what did he say?"
 "luke" "... both are hardworking and will serve you well."
 "threepio" "this can't be! artoo, you're playing the wrong message."
 "jabba" "there will be no bargain."
 "threepio" "we're doomed."
 "jabba" "i will not give up my favorite decoration. i like captain solo where he is."
 "threepio" "artoo, look! captain solo. and he's still frozen in carbonite."
 "threepio" "what could possibly have come over master luke. is it something i did? he never expressed any unhappiness with my work. oh! oh! hold it! ohh!"
 "ninedenine" "ah, good. new acquisitions. you are a protocol droid, are you not?"
 "threepio" "i am see-threepio, human-cy..."
 "ninedenine" "yes or no will do."
 "threepio" "oh. well, yes."
 "ninedenine" "how many languages do you speak?"
 "threepio" "i am fluent in over six million forms of communication, and can readily..."
 "ninedenine" "splendid! we have been without an interpreter since our master got angry with our last protocol droid and disintegrated him."
 "threepio" "disintegrated?"
 "ninedenine" "guard! this protocol droid might be useful. fit him with a restraining bolt and take him back to his excellency's main audience chamber."
 "threepio" "artoo, don't leave me! ohhh!"
 "ninedenine" "you're a feisty little one, but you'll soon learn some respect. i have need for you on the master's sail barge. and i think you'll fit in nicely."
 "jabba" "da eitha!"
 "oola" "na chuba negatorie na! na! natoota..."
 "jabba" "boscka!"
 "boushh" "i have come for the bounty on this wookiee."
 "threepio" "oh, no! chewbacca!"
 "jabba" "at last we have the mighty chewbacca."
 "threepio" "oh, uh, yes, uh, i am here, your worshipfulness. uh... yes!"
 "threepio" "oh. the illustrious jabba bids you welcome and will gladly pay you the reward of twenty- five thousand."
 "boushh" "i want fifty thousand. no less."
 "threepio" "uh, oh... but what, what did i say?  uh, the mighty jabba asks why he must pay fifty thousand."
 "threepio" "because he's holding a thermal detonator."
 "jabba" "this bounty hunter is my kind of scum. fearless and inventive."
 "threepio" "jabba offers the sum of thirty-five. and i suggest you take it."
 "boushh" "zeebuss."
 "threepio" "he agrees!"
 "boushh" "just relax for a moment. you're free of the carbonite."
 "boushh" "shhh. you have hibernation sickness."
 "han" "i can't see."
 "boushh" "you eyesight will return in time."
 "han" "where am i?"
 "boushh" "jabba's palace."
 "han" "who are you?"
 "leia" "someone who loves you."
 "han" "leia!"
 "leia" "i gotta get you out of here."
 "han" "what's that? i know that laugh."
 "han" "hey, jabba. look, jabba, i was just on my way to pay you back, but i got a little sidetracked. it's not my fault."
 "jabba" "it's too late for that, solo. you may have been a good smuggler, but now you're bantha fodder."
 "han" "look..."
 "jabba" "take him away!"
 "han" "jabba... i'll pay you triple! you're throwing away a fortune here. don't be a fool!"
 "jabba" "bring her to me."
 "leia" "we have powerful friends. you're gonna regret this..."
 "jabba" "i'm sure."
 "leia" "ugh!"
 "threepio" "ohhh, i can't bear to watch."
 "han" "chewie? chewie, is that you?"
 "han" "ah! chew--chewie!"
 "han" "wait. i can't see, pal. what's goin' on?"
 "han" "luke? luke's crazy. he can't even take care of himself, much less rescue anybody."
 "han" "a...jedi knight? i--i'm out of it for a little while, everybody gets delusions of grandeur."
 "han" "i'm all right, pal. i'm all right."
 "luke" "i must speak with jabba."
 "luke" "you will take me to jabba now!"
 "luke" "you serve your master well."
 "luke" "and you will be rewarded."
 "threepio" "at last! master luke's come to rescue me."
 "bib" "master."
 "bib" "...luke skywalker, jedi knight."
 "jabba" "i told you not to admit him."
 "luke" "i must be allowed to speak."
 "bib" "he must be allowed to speak."
 "jabba" "you weak-minded fool! he's using an old jedi mind trick."
 "luke" "you will bring captain solo and the wookiee to me."
 "jabba" "your mind powers will not work on me, boy."
 "luke" "nevertheless, i'm taking captain solo and his friends. you can either profit by this... or be destroyed! it's your choice. but i warn you not to underestimate my powers."
 "threepio" "master luke, you're standing on..."
 "jabba" "there will be no bargain, young jedi. i shall enjoy watching you die."
 "jabba" "bascka!"
 "threepio" "oh, no! the rancor!"
 "jabba" "bring me solo and the wookiee. they will all suffer for this outrage."
 "luke" "han!"
 "han" "luke!"
 "luke" "are you all right?"
 "han" "fine. together again, huh?"
 "luke" "wouldn't miss it."
 "han" "how are we doing?"
 "luke" "the same as always."
 "han" "that bad, huh? where's leia?"
 "leia" "i'm here."
 "threepio" "oh, dear. his high exaltedness, the great jabba the hutt, has decreed that you are to be terminated immediately."
 "han" "good, i hate long waits."
 "threepio" "you will therefore be taken to the dune sea and cast into the pit of carkoon, the nesting place of the all-powerful sarlacc."
 "han" "doesn't sound so bad."
 "threepio" "in his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years."
 "han" "on second thought, let's pass on that, huh?"
 "luke" "you should have bargained, jabba. that's the last mistake you'll ever make."
 "han" "i think my eyes are getting better. instead of a big dark blur, i see a big light blur."
 "luke" "there's nothing to see. i used to live here, you know."
 "han" "you're gonna die here, you know. convenient."
 "luke" "just stick close to chewie and lando. i've taken care of everything."
 "han" "oh... great!"
 "jabba" "soon you will learn to appreciate me."
 "threepio" "oh, i'm terribly sor... artoo! what are you doing here?"
 "threepio" "well, i can see you're serving drinks, but this place is dangerous. they're going to execute master luke and, if we're not careful, us too!"
 "threepio" "hmm.  i wish i had your confidence."
 "threepio" "victims of the almighty sarlacc: his excellency hopes that you will die honorably. but should any of you wish to beg for mercy, the great jabba the hutt will now listen to your pleas."
 "han" "threepio, you tell that slimy piece of... worm-ridden filth he'll get no such pleasure from us. right?"
 "luke" "jabba! this is your last chance. free us or die."
 "jabba" "move him into position."
 "jabba" "put him in."
 "luke" "easy, chewie."
 "lando" "whoa! whoa! help!"
 "han" "chewie, you okay? where is he?"
 "han" "i'm okay, pal."
 "lando" "han! chewie?"
 "han" "lando!"
 "han" "boba fett?! boba fett?! where?"
 "han" "lando, grab it!"
 "lando" "lower it!"
 "han" "i'm trying!"
 "han" "whoa! whoa! grab me, chewie! i'm slipping."
 "han" "grab it! l--lando. grab!"
 "han" "grab it! almost... you almost got it!"
 "lando" "hold it! whoa!"
 "han" "gently now. all... all right. now easy, easy. hold me, chewie."
 "han" "chewie! chewie, give me the gun. don't move, lando."
 "lando" "no, wait! i thought you were blind!"
 "han" "it's all right. trust me. don't move."
