"character" "dialogue"
 "threepio" "did you hear that?  they've shut down the main reactor.  we'll be destroyed for sure.  this is madness!"
 "threepio" "we're doomed!"
 "threepio" "there'll be no escape for the princess this time."
 "threepio" "what's that?"
 "threepio" "i should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister..."
 "luke" "hurry up!  come with me!  what are you waiting for?!  get in gear!"
 "threepio" "artoo! artoo-detoo, where are you?"
 "threepio" "at last!  where have you been?"
 "threepio" "they're heading in this direction. what are we going to do?  we'll be sent to the spice mines of kessel or smashed into who knows what!"
 "threepio" "wait a minute, where are you going?"
 "imperial officer" "the death star plans are not in the main computer."
 "vader" "where are those transmissions you intercepted?"
 "rebel officer" "we intercepted no transmissions. aaah...  this is a consular ship. were on a diplomatic mission."
 "vader" "if this is a consular ship... where is the ambassador?"
 "vader" "commander, tear this ship apart until you've found those plans and bring me the ambassador.  i want her alive!"
 "trooper" "there she is! set for stun!"
 "trooper" "she'll be all right. inform lord vader we have a prisoner."
 "threepio" "hey, you're not permitted in there.  it's restricted. you'll be deactivated for sure.."
 "threepio" "don't call me a mindless philosopher, you overweight glob of grease!  now come out before somebody sees you."
 "threepio" "secret mission?  what plans?  what are you talking about?  i'm not getting in there!"
 "threepio" "i'm going to regret this."
 "chief pilot" "there goes another one."
 "captain" "hold your fire.  there are no life forms.  it must have been short-circuited."
 "threepio" "that's funny, the damage doesn't look as bad from out here."
 "threepio" "are you sure this things safe?"
 "woman" "i've told you kids to slow down!"
 "fixer" "did i hear a young noise blast through here?"
 "camie" "it was just wormie on another rampage."
 "luke" "shape it up you guys!...  biggs?"
 "luke" "i didn't know you were back!  when did you get in?"
 "biggs" "just now.  i wanted to surprise you, hot shot.  i thought you'd be here... certainly didn't expect you to be out working. "
 "luke" "the academy didn't change you much... but you're back so soon?  hey, what happened, didn't you get your commission?"
 "biggs" "of course i got it.  signed aboard the rand ecliptic last week.  first mate biggs darklighter at your service...... i just came back to say goodbye to all you unfortunate landlocked simpletons."
 "luke" "i almost forgot.  there's a battle going on!  right here in our system.  come and look!"
 "deak" "not again!  forget it."
 "luke" "there they are!"
 "biggs" "that's no battle, hot shot... they're just sitting there!  probably a freighter-tanker refueling."
 "luke" "but there was a lot of firing earlier..."
 "luke" "hey, easy with those..."
 "camie" "don't worry about it, wormie."
 "fixer" "i keep telling you, the rebellion is a long way from here.  i doubt if the empire would even fight to keep this system.  believe me luke, this planet is a big hunk of nothing..."
 "leia" "lord vader, i should have known.  only you could be so bold.  the imperial senate will not sit stillfor this, when they hear you've attacked a diplomatic..."
 "vader" "don't play games with me, your highness.  you weren't on any mercy mission this time.  you passed directly through a restricted system.  several transmissions were beamed to this ship by rebel spies.  i want to know what happened to the plans they sent you."
 "leia" "i don't know what you're talking about.  i'm a member of the imperial senate on a diplomatic mission to alderaan..."
 "vader" "you're a part of the rebel alliance... and a traitor.  take her away!"
 "commander" "holding her is dangerous.  if word of this gets out, it could generate sympathy for the rebellion in the senate."
 "vader" "i have traced the rebel spies to her.  now she is my only link to find their secret base!"
 "commander" "you anything."
 "vader" "leave that to me.  send a distress signal and then inform the senate that all aboard were killed!"
 "second officer" "lord vader, the battle station plans are not aboard this ship!  and no transmissions were made.  an escape pod was jettisoned during the fighting, but no life forms were aboard."
